USER	ITEM	SCORE
62	5497	1
62	19283	1
62	7098	1
62	26384	1
62	32041	1
62	43884	1
62	8093	1
62	13993	1
62	14317	1
62	4701	1
62	13443	1
62	38958	1
63	28513	2
63	31954	2
63	20899	1
63	18542	1
63	18072	1
63	8343	1
63	8742	1
63	5649	1
63	30657	1
63	33726	1
63	11813	1
63	16972	1
63	42362	1
63	1371	1
63	12108	1
63	3638	1
63	7539	1
63	17477	1
63	39397	1
63	6421	1
64	6648	2
64	23792	1
64	24019	1
64	34352	1
64	2417	1
64	20174	1
64	19888	1
64	28145	1
64	23697	1
64	23642	1
64	32817	1
64	22493	1
64	9006	1
64	21799	1
64	2671	1
64	1488	1
64	37276	1
65	9608	2
65	41318	2
65	5754	1
65	30083	1
65	40184	1
65	17492	1
65	11946	1
65	11378	1
65	21512	1
65	16178	1
65	5271	1
65	32530	1
65	40676	1
65	16163	1
65	38753	1
65	37637	1
65	35405	1
65	34400	1
65	27631	1
65	20472	1
66	36139	10
66	25273	6
66	15458	5
66	2837	4
66	27447	4
66	26191	4
66	29240	3
66	16276	3
66	38086	3
66	13157	2
66	33745	2
66	1365	2
66	25684	2
66	29891	2
66	34454	2
66	16694	1
66	6504	1
66	16576	1
66	14280	1
66	39056	1
67	15368	1
67	2599	1
67	7356	1
67	9995	1
67	4053	1
67	22298	1
67	4965	1
67	9460	1
68	13457	1
68	11336	1
68	35098	1
68	32403	1
69	21670	11
69	43390	10
69	12848	8
69	20743	8
69	6370	8
69	22507	7
69	21012	7
69	16403	6
69	40771	5
69	22036	5
69	21102	5
69	9258	5
69	23384	5
69	31092	5
69	15350	5
69	2724	5
69	28678	4
69	12274	4
69	26976	4
69	7498	4
70	28389	62
70	39486	43
70	40889	42
70	12514	26
70	10757	26
70	18072	25
70	22090	25
70	9425	21
70	23023	20
70	33387	19
70	3391	18
70	31856	18
70	33021	17
70	13450	16
70	16123	16
70	36291	15
70	13300	15
70	27153	14
70	38530	14
70	6650	14
71	496	10
71	12363	7
71	4035	7
71	32881	7
71	43554	6
71	14439	5
71	38540	5
71	10872	5
71	15595	5
71	35712	4
71	27934	4
71	18967	4
71	1616	4
71	16364	4
71	28513	3
71	40479	3
71	35750	3
71	1652	3
71	6601	3
71	1152	3
72	14064	1
72	23829	1
72	29514	1
72	21585	1
72	21695	1
72	38957	1
72	19440	1
72	16364	1
72	6223	1
72	10989	1
72	10778	1
72	3469	1
72	7480	1
72	23150	1
73	16271	16
73	17854	4
73	43962	4
73	39250	4
73	33847	3
73	24699	3
73	16300	3
73	394	3
73	37275	3
73	1204	2
73	5652	2
73	41382	2
73	19954	2
73	36080	2
73	35816	2
73	24457	2
73	1912	2
73	22008	2
73	17050	2
73	32042	2
74	9488	7
74	42389	6
74	42038	6
74	13744	5
74	38105	4
74	33020	4
74	32594	4
74	16221	3
74	38120	3
74	8194	3
74	9181	3
74	6650	3
74	42859	3
74	18059	3
74	6331	3
74	11778	2
74	38259	2
74	24301	2
74	16775	2
74	16254	2
75	9504	1
75	13297	1
75	30805	1
75	26202	1
75	12129	1
75	27737	1
75	21164	1
75	31459	1
75	34935	1
75	33207	1
76	28733	4
76	14420	3
76	460	2
76	17610	2
76	23973	2
76	33653	2
76	19177	2
76	36024	2
76	10906	2
76	6477	2
76	10720	2
76	14195	2
76	3011	1
76	32883	1
76	43461	1
76	29297	1
76	6148	1
76	1584	1
76	18235	1
76	36660	1
77	35751	3
77	18360	3
77	14102	2
77	32343	2
77	7975	2
77	2339	2
77	31036	2
77	15458	1
77	15358	1
77	21924	1
77	32907	1
77	17684	1
77	18145	1
77	35821	1
77	22392	1
77	3424	1
77	34959	1
77	16361	1
77	9700	1
77	24259	1
78	36139	6
78	1033	3
78	38086	3
78	18129	3
78	21561	3
78	22373	3
78	16713	2
78	36234	2
78	10018	2
78	33603	2
78	36585	2
78	10816	2
78	42424	1
78	19566	1
78	2661	1
78	23558	1
78	33513	1
78	29008	1
78	18083	1
78	25113	1
79	38295	7
79	39250	4
79	37610	4
79	2565	3
79	26713	3
79	13651	3
79	32803	3
79	32775	3
79	1408	3
79	15671	3
79	24279	3
79	30805	3
79	9504	3
79	13297	3
79	31459	3
79	34935	3
79	26886	2
79	7983	2
79	40301	2
79	36097	2
80	14813	2
80	2695	2
80	13419	2
80	30073	2
80	19134	2
80	31695	2
80	20643	1
80	27873	1
80	24220	1
80	37966	1
80	1301	1
80	4559	1
80	10855	1
80	15511	1
80	29483	1
80	43070	1
80	37478	1
80	6997	1
80	2477	1
80	31144	1
81	1830	6
81	6436	6
81	17012	6
81	26857	5
81	27978	4
81	25033	4
81	24721	4
81	40631	3
81	19083	3
81	37069	3
81	9456	3
81	37305	3
81	9179	3
81	38556	3
81	23956	3
81	21569	3
81	20137	3
81	21658	3
81	2820	3
81	6020	2
82	24975	1
82	31801	1
82	35414	1
82	27128	1
82	41839	1
83	38957	2
83	43554	1
83	37389	1
83	31126	1
83	21695	1
83	19787	1
83	23593	1
83	24567	1
83	14172	1
83	41376	1
83	27401	1
83	38358	1
83	42337	1
83	26321	1
83	35151	1
83	15535	1
83	43979	1
83	35775	1
83	13003	1
83	10989	1
84	41728	10
84	34134	9
84	33398	6
84	6640	5
84	12121	3
84	9810	3
84	29366	2
84	4314	2
84	33380	2
84	15511	2
84	42577	2
84	17488	2
84	16645	2
84	34479	2
84	31226	2
84	18091	2
84	42871	2
84	330	2
84	24053	2
84	41539	2
85	4318	2
85	38825	1
85	18522	1
85	28687	1
85	23336	1
85	9099	1
85	23657	1
85	32923	1
85	12988	1
85	2848	1
85	32082	1
85	42957	1
85	36197	1
85	918	1
85	40341	1
85	11226	1
86	41659	1
86	38388	1
86	14039	1
86	14046	1
86	23261	1
86	1342	1
86	8165	1
86	19696	1
86	23753	1
86	1264	1
86	38957	1
86	12684	1
86	9127	1
87	8271	1
87	8857	1
87	23628	1
87	3041	1
87	348	1
87	8906	1
87	37317	1
87	11076	1
87	33654	1
87	22447	1
87	29872	1
87	37497	1
87	26462	1
87	25997	1
87	20496	1
87	8423	1
87	4162	1
88	26436	1
88	38508	1
88	26341	1
88	25082	1
88	15940	1
88	30938	1
88	33764	1
88	1873	1
88	21940	1
89	24514	2
89	26498	2
89	30741	1
89	8830	1
89	43441	1
89	13744	1
89	18394	1
89	33869	1
89	18324	1
89	12462	1
89	785	1
89	38814	1
89	33450	1
89	42274	1
89	35887	1
89	33804	1
89	1825	1
89	38227	1
89	27797	1
89	33826	1
90	34352	1
90	1415	1
90	28111	1
90	40648	1
90	11201	1
90	31643	1
90	16772	1
90	12550	1
90	17939	1
90	10723	1
90	15738	1
90	43846	1
90	29072	1
90	38242	1
90	25545	1
90	24604	1
91	26826	1
91	39570	1
91	31035	1
91	4041	1
91	5542	1
91	5855	1
91	26551	1
91	2868	1
91	19400	1
91	23292	1
91	17934	1
91	29355	1
93	22016	1
93	30969	1
93	20756	1
93	5871	1
93	1440	1
93	40978	1
93	28153	1
93	36913	1
93	21695	1
93	38957	1
93	22664	1
93	41378	1
93	33106	1
93	25000	1
93	29528	1
93	30670	1
93	2952	1
93	34070	1
93	10758	1
93	38958	1
94	10793	1
94	16803	1
94	42214	1
94	6062	1
94	25457	1
94	16118	1
94	40676	1
94	30856	1
94	19026	1
94	23009	1
94	39671	1
94	21673	1
94	14875	1
94	24380	1
95	8942	1
95	13968	1
95	12374	1
95	5324	1
95	35579	1
95	13252	1
95	35746	1
95	28694	1
95	6663	1
95	37713	1
96	11935	1
96	30604	1
96	19898	1
96	29587	1
96	27511	1
96	33237	1
96	20994	1
97	37443	3
97	17799	3
97	25494	2
97	35051	2
97	12610	2
97	39538	1
97	38546	1
97	17562	1
97	36504	1
97	13412	1
97	39525	1
97	25414	1
97	27467	1
97	28287	1
97	10179	1
97	15245	1
97	7790	1
97	20729	1
97	22966	1
97	4761	1
98	28711	1
98	32312	1
98	5894	1
98	16195	1
98	43273	1
98	28481	1
98	21198	1
98	34071	1
98	11960	1
98	1907	1
98	5018	1
98	10804	1
98	42040	1
98	6089	1
98	27036	1
99	42116	1
99	24930	1
99	11182	1
99	4053	1
99	21031	1
99	5548	1
100	25668	2
100	35358	2
100	1579	2
100	22164	2
100	38508	2
100	15940	2
100	30938	2
100	3355	2
100	32747	1
100	11573	1
100	12423	1
100	14827	1
100	37765	1
100	10954	1
100	35701	1
100	41428	1
100	8847	1
100	42751	1
100	27222	1
100	1351	1
101	10215	1
101	15989	1
101	44089	1
101	35721	1
101	24330	1
101	7952	1
101	19342	1
101	19683	1
101	29018	1
101	31638	1
102	30819	1
102	42055	1
102	43890	1
102	23537	1
102	18381	1
102	23322	1
102	38200	1
102	3662	1
102	2406	1
102	40640	1
103	28389	1
103	39216	1
103	42055	1
103	14552	1
103	12833	1
104	16191	3
104	11002	3
104	11395	2
104	548	2
104	3159	2
104	17991	2
104	26199	1
104	6394	1
104	42746	1
104	43770	1
104	30819	1
104	42055	1
104	43890	1
104	23537	1
104	18381	1
104	23322	1
104	43818	1
104	21162	1
104	26726	1
104	36790	1
105	25040	8
105	33131	5
105	28161	4
105	28748	4
105	29850	4
105	11913	3
105	11464	3
105	43493	3
105	25380	3
105	9399	3
105	21973	3
105	38050	3
105	43818	3
105	32321	3
105	13551	2
105	20303	2
105	19998	2
105	20743	2
105	9692	2
105	30433	2
106	3986	23
106	22300	16
106	34833	14
106	24220	14
106	6570	10
106	34375	10
106	26492	9
106	17812	9
106	30461	9
106	14291	8
106	36641	8
106	34044	7
106	4097	7
106	37855	7
106	7493	7
106	3907	7
106	1060	7
106	32105	7
106	14760	7
106	36242	7
107	3266	1
107	26142	1
107	20279	1
107	27685	1
107	32301	1
107	11818	1
108	27816	2
108	35717	1
108	23386	1
108	43211	1
108	7082	1
108	15989	1
108	3009	1
108	36876	1
108	14774	1
108	8354	1
108	11469	1
108	1427	1
108	2857	1
108	13417	1
108	38851	1
108	3093	1
108	4107	1
108	25847	1
109	4780	2
109	15113	1
109	13144	1
109	2383	1
109	18061	1
109	31520	1
109	3475	1
109	20743	1
109	5187	1
109	32667	1
109	35897	1
109	9095	1
109	4248	1
109	26872	1
